SynthHD Pro power [dBm],vg2 [V],det power [dBm],amp current [A],amp power [W]
-25.0,1.5,-42.1777,0.01,0.06
-25.0,1.475,-42.17857,0.01,0.06
-25.0,1.45,-42.054286000000005,0.01,0.06
-25.0,1.425,-41.892328,0.01,0.06
-25.0,1.4,-41.839386000000005,0.01,0.06
-25.0,1.375,-41.83157,0.01,0.06
-25.0,1.35,-41.804382,0.01,0.06
-25.0,1.325,-41.775856,0.01,0.06
-25.0,1.3,-41.757493999999994,0.01,0.06
-25.0,1.275,-41.760718,0.01,0.06
-25.0,1.25,-41.79585000000001,0.01,0.06
-25.0,1.225,-41.81916,0.01,0.06
-25.0,1.2,-41.786897999999994,0.01,0.06
-25.0,1.175,-41.764869999999995,0.01,0.06
-25.0,1.15,-41.713302,0.01,0.06
-25.0,1.125,-41.55168,0.02,0.12
-25.0,1.1,-41.167792,0.03,0.18
-25.0,1.075,-40.318619999999996,0.04,0.24
-25.0,1.05,-38.04081600000001,0.05,0.3
-25.0,1.025,-32.128394,0.07,0.42
-25.0,1.0,-18.580326,0.1,0.6
-25.0,0.975,-15.699072000000001,0.14,0.84
-25.0,0.95,-12.784638000000001,0.19,1.14
-25.0,0.9249999999999999,-11.019286000000001,0.25,1.5
-25.0,0.8999999999999999,-9.650101999999997,0.32,1.92
-25.0,0.875,-8.79627,0.39,2.34
-25.0,0.85,-7.733740000000001,0.48,2.88
-25.0,0.825,-7.020836000000003,0.57,3.42
-25.0,0.7999999999999999,-6.44182,0.66,3.96
-25.0,0.7749999999999999,-6.050760000000004,0.77,4.62
-25.0,0.75,-5.552578000000004,0.88,5.28
-25.0,0.725,-5.20937,1.0,6.0
-25.0,0.7,-4.9164400000000015,1.12,6.72
-25.0,0.6749999999999999,-4.722982000000002,1.24,7.44
-25.0,0.6499999999999999,-4.47251,1.37,8.22
-25.0,0.625,-4.304382,1.5,9.0
-25.0,0.6,-4.174324000000002,1.63,9.78
-25.0,0.575,-4.100506000000003,1.76,10.56
-25.0,0.5499999999999999,-4.015328000000004,1.89,11.34
-25.0,0.5249999999999999,-3.982645999999999,2.02,12.12
-25.0,0.5,-3.9810680000000005,2.15,12.9
-24.4,1.5,-25.548138,0.01,0.06
-24.4,1.475,-41.625505999999994,0.01,0.06
-24.4,1.45,-40.988879999999995,0.01,0.06
-24.4,1.425,-40.84701199999999,0.01,0.06
-24.4,1.4,-40.937667999999995,0.01,0.06
-24.4,1.375,-41.015254000000006,0.01,0.06
-24.4,1.35,-40.978142000000005,0.01,0.06
-24.4,1.325,-40.91885,0.01,0.06
-24.4,1.3,-40.89127,0.01,0.06
-24.4,1.275,-40.901447999999995,0.01,0.06
-24.4,1.25,-40.871946,0.01,0.06
-24.4,1.225,-40.80575,0.01,0.06
-24.4,1.2,-40.79271200000001,0.01,0.06
-24.4,1.175,-40.745672,0.01,0.06
-24.4,1.15,-40.68125,0.01,0.06
-24.4,1.125,-40.557852000000004,0.02,0.12
-24.4,1.1,-40.195036,0.02,0.12
-24.4,1.075,-39.153746,0.03,0.18
-24.4,1.05,-36.91476200000001,0.05,0.3
-24.4,1.025,-31.21269000000001,0.07,0.42
-24.4,1.0,-18.655928000000003,0.1,0.6
-24.4,0.975,-14.571569999999994,0.14,0.84
-24.4,0.95,-11.984930000000002,0.19,1.14
-24.4,0.9249999999999999,-10.215600000000002,0.25,1.5
-24.4,0.8999999999999999,-9.113554,0.31,1.86
-24.4,0.875,-7.813886000000004,0.39,2.34
-24.4,0.85,-6.963661999999999,0.47,2.82
-24.4,0.825,-6.261901999999999,0.56,3.36
