vg [V],det power [dBm],amp current [A],amp power [W],v diff [V]
1.5,-7.349828000000002,0.92,5.52,0.6075215830795271
1.481,-7.262648000000002,0.92,5.52,0.6075215830795271
1.462,-7.088048000000004,0.93,5.58,0.6075215830795271
1.443,-6.8587459999999965,0.93,5.58,0.6075215830795271
1.424,-6.6403899999999965,0.93,5.58,0.6075215830795271
1.405,-6.353305999999996,0.93,5.58,0.6075215830795271
1.3860000000000001,-6.009384000000001,0.93,5.58,0.6075215830795271
1.367,-5.506549999999997,0.94,5.64,0.6075215830795271
1.348,-5.008554000000004,0.94,5.64,0.6075215830795271
1.329,-4.365966,0.94,5.64,0.6075215830795271
1.31,-3.3450219999999966,0.95,5.7,0.6075215830795271
1.291,-1.5498799999999981,0.96,5.76,0.6075215830795271
1.272,0.16501199999999727,0.97,5.82,0.6075215830795271
1.2530000000000001,2.7057840000000013,0.99,5.94,0.6075215830795271
1.234,5.418968000000001,1.02,6.12,0.6049731988296392
1.215,8.303486,1.05,6.3,0.5998764303298634
1.196,9.928741200000001,1.08,6.48,0.6049731988296392
1.177,11.783252,1.12,6.72,0.5947796618300876
1.158,13.4269684,1.16,6.96,0.6049731988296392
1.139,15.0902806,1.21,7.26,0.5973280460799755
1.12,16.0220578,1.25,7.5,0.6049731988296392
1.101,17.101907,1.31,7.86,0.6024248145797513
1.082,18.055656,1.36,8.15,0.5998764303298634
1.063,19.035257819999998,1.41,8.45,0.6024248145797513
1.044,19.5871285,1.45,8.69,0.5692958193312085
1.025,20.2101176,1.51,9.04,0.5718442035810964
1.006,20.7593668,1.56,9.34,0.5540055138318802
0.987,21.3276,1.61,9.64,0.5973280460799755
0.968,21.651044,1.66,9.94,0.5947796618300876
0.9490000000000001,22.0337594,1.72,10.3,0.5947796618300876
0.93,22.387759,1.78,10.66,0.5565538980817681
0.911,22.7805084,1.83,10.96,0.5947796618300876
0.892,23.0219228,1.89,11.32,0.5616506665815448
0.873,23.3065674,1.95,11.68,0.5743925878309843
0.854,23.5723106,2.01,12.04,0.5922312775801997
0.835,23.8621612,2.07,12.4,0.5591022823316569
0.8160000000000001,24.0363292,2.14,12.82,0.5616506665815448
0.797,24.242756,2.2,13.18,0.5387152083325528
0.778,24.4327622,2.26,13.54,0.5794893563307602
0.759,24.647275399999998,2.33,13.96,0.5743925878309843
0.74,24.8055676,2.39,14.32,0.5208765185833375
0.721,24.9327338,2.46,14.74,0.5463603610822165
0.7020000000000001,25.0828268,2.53,15.15,0.5208765185833375
0.683,25.2516456,2.6,15.57,0.5641990508314327
0.664,25.3499076,2.67,15.99,0.5361668240826649
0.645,25.4720692,2.74,16.41,0.5616506665815448
0.626,25.5769874,2.81,16.83,0.5259732870831133
0.607,25.714669999999998,2.88,17.25,0.533618439832777
0.5880000000000001,25.7956064,2.95,17.67,0.5514571295819923
0.5690000000000001,25.8771682,3.03,18.15,0.5361668240826649
0.55,25.9579,3.1,18.57,0.5361668240826649
