vg1 [V],vg2 [V],det power [dBm],amp current [A],amp power [W]
1.5,1.5,-7.271854000000001,0.01,0.06
1.5,1.475,-7.111944000000005,0.01,0.06
1.5,1.45,-6.885472,0.01,0.06
1.5,1.425,-6.577114000000002,0.01,0.06
1.5,1.4,-6.2112300000000005,0.01,0.06
1.5,1.375,-5.770446000000003,0.02,0.12
1.5,1.35,-5.282579999999996,0.02,0.12
1.5,1.325,-4.39809,0.02,0.12
1.5,1.3,-3.675840000000001,0.03,0.18
1.5,1.275,-2.500602000000004,0.03,0.18
1.5,1.25,-0.8907900000000026,0.04,0.24
1.5,1.225,1.609131999999999,0.06,0.36
1.5,1.2,3.663350000000001,0.09,0.54
1.5,1.175,6.313085999999998,0.12,0.72
1.5,1.15,8.883108,0.16,0.96
1.5,1.125,11.7710668,0.21,1.26
1.5,1.1,13.380883800000001,0.26,1.56
1.5,1.075,15.1192574,0.32,1.92
1.5,1.05,16.6242468,0.38,2.28
1.5,1.025,17.9996546,0.44,2.64
1.5,1.0,19.06101804,0.5,3.0
1.5,0.975,20.0912174,0.57,3.42
1.5,0.95,20.91173372,0.64,3.84
1.5,0.9249999999999999,21.799532,0.71,4.26
1.5,0.8999999999999999,22.526011,0.79,4.74
1.5,0.875,23.1459126,0.86,5.16
1.5,0.85,23.5809102,0.94,5.64
1.5,0.825,24.2460476,1.02,6.12
1.5,0.7999999999999999,24.5504902,1.1,6.6
1.5,0.7749999999999999,24.9019202,1.18,7.08
1.5,0.75,25.2120356,1.27,7.62
1.5,0.725,25.551163,1.36,8.16
1.5,0.7,25.7435142,1.46,8.76
1.5,0.6749999999999999,25.9599528,1.56,9.36
1.5,0.6499999999999999,26.1497052,1.66,9.96
1.5,0.625,26.343258,1.76,10.56
1.5,0.6,26.441142,1.87,11.22
1.5,0.575,26.554405,1.98,11.88
1.5,0.5499999999999999,26.6486202,2.09,12.54
1.5,0.5249999999999999,26.741394,2.2,13.2
1.5,0.5,26.784533,2.31,13.86
1.475,1.5,-0.4634295999999978,0.01,0.06
1.475,1.475,-7.120684000000001,0.01,0.06
1.475,1.45,-6.827620000000003,0.01,0.06
1.475,1.425,-6.585097999999999,0.01,0.06
1.475,1.4,-6.218142,0.01,0.06
1.475,1.375,-5.777800000000003,0.02,0.12
1.475,1.35,-5.120737999999996,0.02,0.12
1.475,1.325,-4.537336000000003,0.02,0.12
1.475,1.3,-3.6619220000000006,0.03,0.18
1.475,1.275,-2.4759700000000002,0.03,0.18
1.475,1.25,-0.5421219999999991,0.04,0.24
1.475,1.225,1.2327639999999995,0.06,0.36
1.475,1.2,3.720236,0.09,0.54
1.475,1.175,6.365511999999999,0.12,0.72
1.475,1.15,9.450861999999999,0.16,0.96
1.475,1.125,11.324609599999999,0.21,1.26
1.475,1.1,13.398940600000001,0.26,1.56
1.475,1.075,15.241062,0.32,1.92
1.475,1.05,16.6384502,0.38,2.28
1.475,1.025,17.9286504,0.44,2.64
1.475,1.0,19.02180332,0.5,3.0
1.475,0.975,20.10223074,0.57,3.42
1.475,0.95,21.00151242,0.64,3.84
1.475,0.9249999999999999,21.7672044,0.71,4.26
1.475,0.8999999999999999,22.5663618,0.79,4.74
1.475,0.875,23.158832,0.86,5.16
1.475,0.85,23.7041906,0.94,5.64
1.475,0.825,24.0789566,1.02,6.12
1.475,0.7999999999999999,24.5652228,1.1,6.6
1.475,0.7749999999999999,24.9163078,1.19,7.14
1.475,0.75,25.2273554,1.27,7.62
1.475,0.725,25.56339,1.36,8.16
1.475,0.7,25.7504958,1.46,8.76
1.475,0.6749999999999999,25.9663268,1.56,9.36
1.475,0.6499999999999999,26.1590088,1.66,9.96
1.475,0.625,26.329056,1.76,10.56
1.475,0.6,26.4407864,1.87,11.22
1.475,0.575,26.552137,1.98,11.88
1.475,0.5499999999999999,26.6488788,2.09,12.54
1.475,0.5249999999999999,26.726111799999998,2.2,13.2
1.475,0.5,26.781588,2.31,13.86
1.45,1.5,-0.46382959999999684,0.01,0.06
1.45,1.475,-7.119785999999998,0.01,0.06
1.45,1.45,-6.875033999999999,0.01,0.06
1.45,1.425,-6.582822,0.01,0.06
1.45,1.4,-6.234230000000004,0.01,0.06
1.45,1.375,-5.774807999999997,0.02,0.12
1.45,1.35,-5.2250460000000025,0.02,0.12
1.45,1.325,-4.532091999999999,0.02,0.12
1.45,1.3,-3.763361999999997,0.03,0.18
1.45,1.275,-2.4632739999999984,0.03,0.18
1.45,1.25,-0.8326960000000021,0.04,0.24
1.45,1.225,1.2533940000000001,0.06,0.36
1.45,1.2,3.714281999999997,0.09,0.54
1.45,1.175,6.375410000000002,0.12,0.72
1.45,1.15,8.939778,0.16,0.96
1.45,1.125,11.3406966,0.21,1.26
1.45,1.1,13.0113144,0.26,1.56
1.45,1.075,15.1464122,0.32,1.92
1.45,1.05,16.6502772,0.38,2.28
1.45,1.025,17.753091,0.44,2.64
1.45,1.0,19.08362112,0.51,3.06
1.45,0.975,20.10929472,0.57,3.42
1.45,0.95,20.98221726,0.64,3.84
1.45,0.9249999999999999,21.8160556,0.71,4.26
1.45,0.8999999999999999,22.5423244,0.79,4.74
1.45,0.875,23.1629188,0.86,5.16
1.45,0.85,23.598481800000002,0.94,5.64
1.45,0.825,24.1713418,1.02,6.12
1.45,0.7999999999999999,24.5670728,1.1,6.6
1.45,0.7749999999999999,24.918905600000002,1.19,7.14
1.45,0.75,25.164537799999998,1.27,7.62
1.45,0.725,25.504731,1.36,8.16
1.45,0.7,25.7542124,1.46,8.76
1.45,0.6749999999999999,25.9235322,1.56,9.36
1.45,0.6499999999999999,26.193212199999998,1.66,9.96
1.45,0.625,26.3122142,1.76,10.56
1.45,0.6,26.443641,1.87,11.22
1.45,0.575,26.5303692,1.98,11.88
1.45,0.5499999999999999,26.667457,2.09,12.54
1.45,0.5249999999999999,26.7222294,2.2,13.2
1.45,0.5,26.7843762,2.31,13.86
1.425,1.5,6.352498399999998,0.01,0.06
1.425,1.475,-7.074477999999999,0.01,0.06
1.425,1.45,-6.873256000000005,0.01,0.06
1.425,1.425,-6.578986000000004,0.01,0.06
1.425,1.4,-6.212067999999999,0.01,0.06
1.425,1.375,-5.6787600000000005,0.02,0.12
1.425,1.35,-5.2202059999999975,0.02,0.12
1.425,1.325,-4.528466000000002,0.02,0.12
1.425,1.3,-3.6545679999999976,0.03,0.18
1.425,1.275,-2.2086159999999992,0.03,0.18
1.425,1.25,-0.8288079999999987,0.05,0.3
