A2 [V],det power [dBm],amp current [A],amp power [W]
3.0,-54.90162359999999,0.15,0.05
3.18,-68.21603400000001,0.19,0.06
3.36,-60.567828,0.2,0.06
3.54,-52.887792000000005,0.25,0.07
3.7199999999999998,-51.323775999999995,0.3,0.08
3.9,-50.05538,0.39,0.1
4.08,-48.009214,0.49,0.12
4.26,-10.63855044,2.48,0.58
4.4399999999999995,5.53127882,5.87,1.32
4.62,7.140089399999999,8.33,1.8
4.8,7.8180766,8.95,1.86
4.98,8.2008088,9.38,1.88
5.16,8.4645644,9.82,1.9
5.34,8.825892199999998,10.33,1.93
5.52,9.0935494,10.78,1.95
5.699999999999999,9.3338128,11.25,1.97
5.88,9.507128400000001,11.78,2.0
6.0600000000000005,9.741039,12.32,2.03
6.24,9.910789400000002,12.94,2.07
6.42,10.046845,13.5,2.1
6.6,10.177719999999999,14.15,2.14
6.779999999999999,10.272724,14.8,2.18
6.96,10.32181,15.26,2.19
7.14,10.327924,15.66,2.19
7.32,10.325427999999999,16.05,2.19
7.5,10.323507999999999,16.45,2.19
7.68,10.320775999999999,16.84,2.19
7.859999999999999,10.317824,17.24,2.19
8.04,10.315003999999998,17.63,2.19
8.219999999999999,10.312146,18.02,2.19
8.399999999999999,10.309918,18.42,2.19
8.58,10.3067,18.81,2.19
8.76,10.303472,19.12,2.18
8.94,10.300121999999998,19.51,2.18
9.120000000000001,10.2966,19.9,2.18
9.3,10.292998,20.3,2.18
9.48,10.289228,20.69,2.18
9.66,10.285906,21.08,2.18
9.84,10.282356,21.47,2.18
10.02,10.278316,21.87,2.18
10.2,10.274524000000001,22.26,2.18
10.379999999999999,10.270608,22.65,2.18
10.559999999999999,10.266836000000001,23.04,2.18
10.739999999999998,10.262684,23.44,2.18
10.92,10.258578,23.83,2.18
11.1,10.254688,24.22,2.18
11.28,10.250434,24.61,2.18
11.459999999999999,10.246438,25.0,2.18
11.64,10.242002,25.4,2.18
11.82,10.237754,25.79,2.18
12.0,10.233936,26.18,2.18
