time [s],det power [dBm],amp current [A],amp power [W]
2.5389420986175537,10.2325502,26.32,2.19
13.106950998306274,10.306541999999999,26.2,2.18
23.66076374053955,10.275876,26.2,2.18
34.229883432388306,10.25582,26.2,2.18
44.772406816482544,10.238268,26.06,2.17
55.31613612174988,10.222128000000001,26.06,2.17
65.87581777572632,10.208812,26.06,2.17
76.45903253555298,10.196902,26.06,2.17
87.03436398506165,10.187046,26.06,2.17
97.58313846588135,10.179944,26.06,2.17
108.14795875549316,10.174118000000002,26.06,2.17
118.73129987716675,10.16893,26.06,2.17
129.2723286151886,10.164482000000001,26.06,2.17
139.84444665908813,10.159608,26.06,2.17
150.39179110527039,10.157888,26.06,2.17
160.96046018600464,10.154702,26.06,2.17
171.50502967834473,10.151926,26.06,2.17
182.0572578907013,10.151154000000002,26.06,2.17
192.60433721542358,10.14836,26.06,2.17
203.1726999282837,10.146644,26.06,2.17
213.72982263565063,10.153822000000002,26.06,2.17
224.2844090461731,10.152807999999999,26.06,2.17
234.82756090164185,10.152688,26.06,2.17
245.3774688243866,10.151247999999999,26.06,2.17
255.93912935256958,10.151202000000001,26.06,2.17
266.50691652297974,10.150466,26.06,2.17
277.0494439601898,10.150012,26.06,2.17
287.62342715263367,10.150926,26.06,2.17
298.19851446151733,10.151687999999998,26.06,2.17
308.76819467544556,10.152382,26.06,2.17
319.3388092517853,10.152112,26.06,2.17
329.8846364021301,10.15174,26.06,2.17
340.429386138916,10.151792,26.06,2.17
350.975946187973,10.151004,26.06,2.17
361.5164523124695,10.150692000000001,26.06,2.17
372.06440830230713,10.150644,26.06,2.17
