frequency [Hz],synthHD Pro power [dBm],det power [dBm]
10000000000.0,-30.0,-28.896312
10000000000.0,-29.3,-28.311011999999998
10000000000.0,-28.6,-27.715792
10000000000.0,-27.9,-27.096178
10000000000.0,-27.2,-26.475422000000002
10000000000.0,-26.5,-25.850684
10000000000.0,-25.8,-25.216292000000003
10000000000.0,-25.1,-24.563678
10000000000.0,-24.4,-23.893988
10000000000.0,-23.7,-23.201320000000003
10000000000.0,-23.0,-22.482909999999997
10000000000.0,-22.3,-21.737894000000004
10000000000.0,-21.6,-21.002326
10000000000.0,-20.9,-20.293964
10000000000.0,-20.200000000000003,-19.507616000000002
10000000000.0,-19.5,-18.753038
10000000000.0,-18.8,-18.05575
10000000000.0,-18.1,-17.339998
10000000000.0,-17.4,-16.589208
10000000000.0,-16.700000000000003,-15.794334000000001
10000000000.0,-16.0,-15.011965999999997
10000000000.0,-15.3,-14.308877999999998
10000000000.0,-14.600000000000001,-13.596156000000002
10000000000.0,-13.900000000000002,-12.889589999999998
10000000000.0,-13.200000000000003,-12.14639
10000000000.0,-12.5,-11.37161
10000000000.0,-11.8,-10.582446000000001
10000000000.0,-11.100000000000001,-9.7923474
10000000000.0,-10.400000000000002,-9.0420044
10000000000.0,-9.700000000000003,-8.3055306
10000000000.0,-9.0,-7.581968399999999
10000000000.0,-8.3,-6.858574
10000000000.0,-7.600000000000001,-6.1361264
10000000000.0,-6.900000000000002,-5.4135966
10000000000.0,-6.200000000000003,-4.689434
10000000000.0,-5.5,-3.9672145999999997
10000000000.0,-4.800000000000001,-3.2520455999999998
10000000000.0,-4.100000000000001,-2.5444001999999997
10000000000.0,-3.400000000000002,-1.8168492
10000000000.0,-2.700000000000003,-1.0700315999999999
10000000000.0,-2.0,-0.33140990000000004
10000000000.0,-1.3000000000000007,0.39911628
10000000000.0,-0.6000000000000014,1.1136494000000001
10000000000.0,0.09999999999999787,1.8137418
10000000000.0,0.7999999999999972,2.5070594
10000000000.0,1.4999999999999964,3.2608580000000003
10000000000.0,2.1999999999999957,4.008725800000001
10000000000.0,2.8999999999999986,4.7262248
10000000000.0,3.5999999999999943,5.408180199999999
10000000000.0,4.299999999999997,6.071802799999999
10000000000.0,5.0,6.7603702
10078000000.0,-30.0,-28.674964
10078000000.0,-29.3,-28.096315999999995
10078000000.0,-28.6,-27.502686000000004
10078000000.0,-27.9,-26.881725999999997
10078000000.0,-27.2,-26.261006
10078000000.0,-26.5,-25.636104
10078000000.0,-25.8,-24.998638
10078000000.0,-25.1,-24.345454
10078000000.0,-24.4,-23.673458
10078000000.0,-23.7,-22.979278
10078000000.0,-23.0,-22.259154000000002
10078000000.0,-22.3,-21.512466
10078000000.0,-21.6,-20.77657
10078000000.0,-20.9,-20.074768
10078000000.0,-20.200000000000003,-19.282684
10078000000.0,-19.5,-18.518758
10078000000.0,-18.8,-17.823558
10078000000.0,-18.1,-17.111264
10078000000.0,-17.4,-16.35743
10078000000.0,-16.700000000000003,-15.559714
10078000000.0,-16.0,-14.769325999999998
10078000000.0,-15.3,-14.063451999999998
10078000000.0,-14.600000000000001,-13.344916000000001
10078000000.0,-13.900000000000002,-12.633737999999997
10078000000.0,-13.200000000000003,-11.895232
10078000000.0,-12.5,-11.121792
10078000000.0,-11.8,-10.333234
10078000000.0,-11.100000000000001,-9.539730599999999
10078000000.0,-10.400000000000002,-8.7807984
10078000000.0,-9.700000000000003,-8.0433042
10078000000.0,-9.0,-7.3235434
10078000000.0,-8.3,-6.5985038000000005
10078000000.0,-7.600000000000001,-5.873894999999999
10078000000.0,-6.900000000000002,-5.153383
10078000000.0,-6.200000000000003,-4.4277958
10078000000.0,-5.5,-3.7133664000000004
10078000000.0,-4.800000000000001,-2.9970944000000004
10078000000.0,-4.100000000000001,-2.2882974
10078000000.0,-3.400000000000002,-1.566703
10078000000.0,-2.700000000000003,-0.8203156400000001
10078000000.0,-2.0,-0.085634828
10078000000.0,-1.3000000000000007,0.64202696
10078000000.0,-0.6000000000000014,1.3522118
10078000000.0,0.09999999999999787,2.0495463999999997
10078000000.0,0.7999999999999972,2.7336486000000004
10078000000.0,1.4999999999999964,3.4803930000000003
10078000000.0,2.1999999999999957,4.216796799999999
10078000000.0,2.8999999999999986,4.9256478
10078000000.0,3.5999999999999943,5.5944778
10078000000.0,4.299999999999997,6.2458332
10078000000.0,5.0,6.9317656
10156000000.0,-30.0,-28.522606000000003
10156000000.0,-29.3,-27.948833999999998
10156000000.0,-28.6,-27.358223999999996
10156000000.0,-27.9,-26.73999
10156000000.0,-27.2,-26.122046
10156000000.0,-26.5,-25.496978
10156000000.0,-25.8,-24.861983999999996
10156000000.0,-25.1,-24.209868
10156000000.0,-24.4,-23.541083999999998
10156000000.0,-23.7,-22.847362000000004
10156000000.0,-23.0,-22.127334
10156000000.0,-22.3,-21.379740000000005
10156000000.0,-21.6,-20.64706
10156000000.0,-20.9,-19.955392
10156000000.0,-20.200000000000003,-19.156327999999995
10156000000.0,-19.5,-18.38763
10156000000.0,-18.8,-17.696512000000002
10156000000.0,-18.1,-16.987233999999997
10156000000.0,-17.4,-16.234164
10156000000.0,-16.700000000000003,-15.432108
10156000000.0,-16.0,-14.635946
10156000000.0,-15.3,-13.927246
10156000000.0,-14.600000000000001,-13.201857999999998
10156000000.0,-13.900000000000002,-12.48705
10156000000.0,-13.200000000000003,-11.752886
10156000000.0,-12.5,-10.986044
10156000000.0,-11.8,-10.19281
10156000000.0,-11.100000000000001,-9.399793800000001
10156000000.0,-10.400000000000002,-8.636376
10156000000.0,-9.700000000000003,-7.8945712
10156000000.0,-9.0,-7.169184799999999
10156000000.0,-8.3,-6.449937
10156000000.0,-7.600000000000001,-5.725130399999999
10156000000.0,-6.900000000000002,-4.9987192
10156000000.0,-6.200000000000003,-4.2806122
10156000000.0,-5.5,-3.5637541999999995
10156000000.0,-4.800000000000001,-2.8469337999999995
10156000000.0,-4.100000000000001,-2.1377166
10156000000.0,-3.400000000000002,-1.4191172
10156000000.0,-2.700000000000003,-0.67400808
10156000000.0,-2.0,0.05759373599999999
10156000000.0,-1.3000000000000007,0.7799672799999999
10156000000.0,-0.6000000000000014,1.486657
10156000000.0,0.09999999999999787,2.1784186
10156000000.0,0.7999999999999972,2.8607872
10156000000.0,1.4999999999999964,3.6047382
10156000000.0,2.1999999999999957,4.331885799999999
10156000000.0,2.8999999999999986,5.0310734
10156000000.0,3.5999999999999943,5.695975000000001
10156000000.0,4.299999999999997,6.3407814
10156000000.0,5.0,7.0243876
10234000000.0,-30.0,-28.37253
10234000000.0,-29.3,-27.801968
10234000000.0,-28.6,-27.213059999999995
10234000000.0,-27.9,-26.593376
10234000000.0,-27.2,-25.973171999999998
10234000000.0,-26.5,-25.34858
10234000000.0,-25.8,-24.713064
10234000000.0,-25.1,-24.062050000000003
10234000000.0,-24.4,-23.390642000000003
10234000000.0,-23.7,-22.6968
10234000000.0,-23.0,-21.976874
10234000000.0,-22.3,-21.229156
10234000000.0,-21.6,-20.496536
10234000000.0,-20.9,-19.815804000000004
10234000000.0,-20.200000000000003,-19.009248
10234000000.0,-19.5,-18.23177
10234000000.0,-18.8,-17.544164000000002
10234000000.0,-18.1,-16.835518
10234000000.0,-17.4,-16.081848
10234000000.0,-16.700000000000003,-15.274612
10234000000.0,-16.0,-14.475387999999999
10234000000.0,-15.3,-13.760507999999998
10234000000.0,-14.600000000000001,-13.028774000000002
10234000000.0,-13.900000000000002,-12.31323
10234000000.0,-13.200000000000003,-11.580948
10234000000.0,-12.5,-10.811320000000002
10234000000.0,-11.8,-10.02367
10234000000.0,-11.100000000000001,-9.222038
10234000000.0,-10.400000000000002,-8.450185600000001
10234000000.0,-9.700000000000003,-7.704454
10234000000.0,-9.0,-6.9834382
10234000000.0,-8.3,-6.2579374
10234000000.0,-7.600000000000001,-5.5311262
10234000000.0,-6.900000000000002,-4.8038646
10234000000.0,-6.200000000000003,-4.082252199999999
10234000000.0,-5.5,-3.3631036
10234000000.0,-4.800000000000001,-2.6473229999999996
10234000000.0,-4.100000000000001,-1.9368406
10234000000.0,-3.400000000000002,-1.2211172000000001
10234000000.0,-2.700000000000003,-0.47417309999999996
10234000000.0,-2.0,0.26091408000000005
10234000000.0,-1.3000000000000007,0.9801546
10234000000.0,-0.6000000000000014,1.687557
10234000000.0,0.09999999999999787,2.373319
10234000000.0,0.7999999999999972,3.0523292
10234000000.0,1.4999999999999964,3.7921565999999998
10234000000.0,2.1999999999999957,4.5157592
10234000000.0,2.8999999999999986,5.2057254
10234000000.0,3.5999999999999943,5.8611302
10234000000.0,4.299999999999997,6.505310400000001
10234000000.0,5.0,7.1844366
10312000000.0,-30.0,-28.267374
10312000000.0,-29.3,-27.700241999999996
10312000000.0,-28.6,-27.110386000000005
10312000000.0,-27.9,-26.485913999999998
10312000000.0,-27.2,-25.863940000000003
10312000000.0,-26.5,-25.237312
10312000000.0,-25.8,-24.60095
10312000000.0,-25.1,-23.948584
10312000000.0,-24.4,-23.277416000000002
10312000000.0,-23.7,-22.581612
10312000000.0,-23.0,-21.859091999999997
10312000000.0,-22.3,-21.104914
10312000000.0,-21.6,-20.37651
10312000000.0,-20.9,-19.698982
10312000000.0,-20.200000000000003,-18.884964000000004
10312000000.0,-19.5,-18.099059999999998
10312000000.0,-18.8,-17.413012000000002
10312000000.0,-18.1,-16.707506
10312000000.0,-17.4,-15.950209999999998
10312000000.0,-16.700000000000003,-15.134298000000001
10312000000.0,-16.0,-14.3309
10312000000.0,-15.3,-13.61199
10312000000.0,-14.600000000000001,-12.872736
10312000000.0,-13.900000000000002,-12.150054
10312000000.0,-13.200000000000003,-11.41717
10312000000.0,-12.5,-10.652648
10312000000.0,-11.8,-9.8639476
10312000000.0,-11.100000000000001,-9.056785399999999
10312000000.0,-10.400000000000002,-8.2768342
10312000000.0,-9.700000000000003,-7.527931799999999
10312000000.0,-9.0,-6.800745600000001
10312000000.0,-8.3,-6.069192599999999
10312000000.0,-7.600000000000001,-5.3414316
10312000000.0,-6.900000000000002,-4.616885999999999
10312000000.0,-6.200000000000003,-3.8878222
10312000000.0,-5.5,-3.1691390000000004
10312000000.0,-4.800000000000001,-2.4497652000000003
10312000000.0,-4.100000000000001,-1.7388348
10312000000.0,-3.400000000000002,-1.0204484
10312000000.0,-2.700000000000003,-0.27230889999999996
10312000000.0,-2.0,0.46373976
10312000000.0,-1.3000000000000007,1.1858618
10312000000.0,-0.6000000000000014,1.889827
10312000000.0,0.09999999999999787,2.5771384
10312000000.0,0.7999999999999972,3.2559116
10312000000.0,1.4999999999999964,3.9947969999999997
10312000000.0,2.1999999999999957,4.7133692
10312000000.0,2.8999999999999986,5.4008664
10312000000.0,3.5999999999999943,6.048736
10312000000.0,4.299999999999997,6.6874436
10312000000.0,5.0,7.367411
10390000000.0,-30.0,-28.709338000000002
10390000000.0,-29.3,-28.152294
10390000000.0,-28.6,-27.573378
10390000000.0,-27.9,-26.955683999999998
10390000000.0,-27.2,-26.342438000000005
10390000000.0,-26.5,-25.724352
10390000000.0,-25.8,-25.096974
10390000000.0,-25.1,-24.453398
10390000000.0,-24.4,-23.791418
10390000000.0,-23.7,-23.103978
10390000000.0,-23.0,-22.387590000000003
10390000000.0,-22.3,-21.641191999999997
10390000000.0,-21.6,-20.922351999999997
10390000000.0,-20.9,-20.259194
10390000000.0,-20.200000000000003,-19.445878
10390000000.0,-19.5,-18.659046
10390000000.0,-18.8,-17.979059999999997
10390000000.0,-18.1,-17.279145999999997
10390000000.0,-17.4,-16.523446
10390000000.0,-16.700000000000003,-15.705841999999999
10390000000.0,-16.0,-14.897200000000002
10390000000.0,-15.3,-14.176265999999998
10390000000.0,-14.600000000000001,-13.438970000000001
10390000000.0,-13.900000000000002,-12.71392
10390000000.0,-13.200000000000003,-11.982788
10390000000.0,-12.5,-11.220324
10390000000.0,-11.8,-10.431723999999999
10390000000.0,-11.100000000000001,-9.6207236
10390000000.0,-10.400000000000002,-8.832196399999999
10390000000.0,-9.700000000000003,-8.077361
10390000000.0,-9.0,-7.347332399999999
10390000000.0,-8.3,-6.613736399999999
10390000000.0,-7.600000000000001,-5.882263800000001
10390000000.0,-6.900000000000002,-5.149694
10390000000.0,-6.200000000000003,-4.4192894
10390000000.0,-5.5,-3.6899810000000004
10390000000.0,-4.800000000000001,-2.9637604000000004
10390000000.0,-4.100000000000001,-2.248275
10390000000.0,-3.400000000000002,-1.5174174
10390000000.0,-2.700000000000003,-0.7635612
10390000000.0,-2.0,-0.01836502
10390000000.0,-1.3000000000000007,0.7118034400000001
10390000000.0,-0.6000000000000014,1.4288653999999998
10390000000.0,0.09999999999999787,2.1278534000000002
10390000000.0,0.7999999999999972,2.8232878
10390000000.0,1.4999999999999964,3.5787943999999996
10390000000.0,2.1999999999999957,4.3156802
10390000000.0,2.8999999999999986,5.0193356
10390000000.0,3.5999999999999943,5.6885128
10390000000.0,4.299999999999997,6.340021999999999
10390000000.0,5.0,7.051038199999999
10468000000.0,-30.0,-28.538733999999998
10468000000.0,-29.3,-27.989434
10468000000.0,-28.6,-27.414524
10468000000.0,-27.9,-26.801104
10468000000.0,-27.2,-26.190364
10468000000.0,-26.5,-25.574714
10468000000.0,-25.8,-24.950761999999997
10468000000.0,-25.1,-24.309794000000004
10468000000.0,-24.4,-23.649802
10468000000.0,-23.7,-22.965089999999996
10468000000.0,-23.0,-22.250172000000003
10468000000.0,-22.3,-21.504331999999998
10468000000.0,-21.6,-20.786946
10468000000.0,-20.9,-20.130968000000003
10468000000.0,-20.200000000000003,-19.310196
10468000000.0,-19.5,-18.518432
10468000000.0,-18.8,-17.840173999999998
10468000000.0,-18.1,-17.141748
10468000000.0,-17.4,-16.382479999999997
10468000000.0,-16.700000000000003,-15.559935999999999
10468000000.0,-16.0,-14.745726
10468000000.0,-15.3,-14.016259999999999
10468000000.0,-14.600000000000001,-13.272450000000001
10468000000.0,-13.900000000000002,-12.545524
10468000000.0,-13.200000000000003,-11.812847999999999
10468000000.0,-12.5,-11.051855999999999
10468000000.0,-11.8,-10.262975999999998
10468000000.0,-11.100000000000001,-9.445981799999998
10468000000.0,-10.400000000000002,-8.653002
10468000000.0,-9.700000000000003,-7.8885486
10468000000.0,-9.0,-7.1542176
10468000000.0,-8.3,-6.4182358
10468000000.0,-7.600000000000001,-5.6798826
10468000000.0,-6.900000000000002,-4.9435764
10468000000.0,-6.200000000000003,-4.209373600000001
10468000000.0,-5.5,-3.4812668
10468000000.0,-4.800000000000001,-2.7506402000000003
10468000000.0,-4.100000000000001,-2.0294321999999996
10468000000.0,-3.400000000000002,-1.299912
10468000000.0,-2.700000000000003,-0.5407781199999999
10468000000.0,-2.0,0.20648024
10468000000.0,-1.3000000000000007,0.94289042
10468000000.0,-0.6000000000000014,1.6631031999999997
10468000000.0,0.09999999999999787,2.3593382
10468000000.0,0.7999999999999972,3.0511848
10468000000.0,1.4999999999999964,3.8106786
10468000000.0,2.1999999999999957,4.5448716000000005
10468000000.0,2.8999999999999986,5.2430306
10468000000.0,3.5999999999999943,5.9055042
10468000000.0,4.299999999999997,6.555187999999999
10468000000.0,5.0,7.261472
10546000000.0,-30.0,-28.425806
10546000000.0,-29.3,-27.88404
10546000000.0,-28.6,-27.315028
10546000000.0,-27.9,-26.707068000000003
10546000000.0,-27.2,-26.100804
10546000000.0,-26.5,-25.491442
10546000000.0,-25.8,-24.871044
10546000000.0,-25.1,-24.235129999999998
10546000000.0,-24.4,-23.57852
10546000000.0,-23.7,-22.894528
10546000000.0,-23.0,-22.181530000000002
10546000000.0,-22.3,-21.436161999999996
10546000000.0,-21.6,-20.719462
10546000000.0,-20.9,-20.07205
10546000000.0,-20.200000000000003,-19.244926
10546000000.0,-19.5,-18.444306
10546000000.0,-18.8,-17.768297999999998
10546000000.0,-18.1,-17.071801999999998
10546000000.0,-17.4,-16.306436
10546000000.0,-16.700000000000003,-15.476222000000002
10546000000.0,-16.0,-14.659395999999997
10546000000.0,-15.3,-13.92526
10546000000.0,-14.600000000000001,-13.177034
10546000000.0,-13.900000000000002,-12.443008
10546000000.0,-13.200000000000003,-11.71159
10546000000.0,-12.5,-10.951226
10546000000.0,-11.8,-10.159538
10546000000.0,-11.100000000000001,-9.333831400000001
10546000000.0,-10.400000000000002,-8.5311138
10546000000.0,-9.700000000000003,-7.761733600000001
10546000000.0,-9.0,-7.027590399999999
10546000000.0,-8.3,-6.2851854000000005
10546000000.0,-7.600000000000001,-5.5424972
10546000000.0,-6.900000000000002,-4.804075
10546000000.0,-6.200000000000003,-4.0629534000000005
10546000000.0,-5.5,-3.3313826
10546000000.0,-4.800000000000001,-2.5976348000000002
10546000000.0,-4.100000000000001,-1.8721776
10546000000.0,-3.400000000000002,-1.1394781999999999
10546000000.0,-2.700000000000003,-0.37949528
10546000000.0,-2.0,0.37029668000000004
10546000000.0,-1.3000000000000007,1.1067898
10546000000.0,-0.6000000000000014,1.8285486
10546000000.0,0.09999999999999787,2.5287448000000006
10546000000.0,0.7999999999999972,3.2256832
10546000000.0,1.4999999999999964,3.9823262
10546000000.0,2.1999999999999957,4.7130758
10546000000.0,2.8999999999999986,5.4131918
10546000000.0,3.5999999999999943,6.066728400000001
10546000000.0,4.299999999999997,6.712193399999999
10546000000.0,5.0,7.4174728000000005
10624000000.0,-30.0,-28.378529999999994
10624000000.0,-29.3,-27.838280000000005
10624000000.0,-28.6,-27.27164
10624000000.0,-27.9,-26.661449999999995
10624000000.0,-27.2,-26.057036
10624000000.0,-26.5,-25.446886
10624000000.0,-25.8,-24.827556
10624000000.0,-25.1,-24.190137999999997
10624000000.0,-24.4,-23.532812
10624000000.0,-23.7,-22.84771
10624000000.0,-23.0,-22.132632
10624000000.0,-22.3,-21.383838000000004
10624000000.0,-21.6,-20.668464
10624000000.0,-20.9,-20.024316000000002
10624000000.0,-20.200000000000003,-19.18976
10624000000.0,-19.5,-18.377342
10624000000.0,-18.8,-17.699862
10624000000.0,-18.1,-17.002062000000002
10624000000.0,-17.4,-16.238288
10624000000.0,-16.700000000000003,-15.40222
10624000000.0,-16.0,-14.571386
10624000000.0,-15.3,-13.833836000000002
10624000000.0,-14.600000000000001,-13.075824
10624000000.0,-13.900000000000002,-12.33745
10624000000.0,-13.200000000000003,-11.60451
10624000000.0,-12.5,-10.845544
10624000000.0,-11.8,-10.054384
10624000000.0,-11.100000000000001,-9.2268346
10624000000.0,-10.400000000000002,-8.413619800000001
10624000000.0,-9.700000000000003,-7.638933
10624000000.0,-9.0,-6.8990036
10624000000.0,-8.3,-6.156268000000001
10624000000.0,-7.600000000000001,-5.410027000000001
10624000000.0,-6.900000000000002,-4.669439199999999
10624000000.0,-6.200000000000003,-3.9270122
10624000000.0,-5.5,-3.1942408
10624000000.0,-4.800000000000001,-2.4618026000000004
10624000000.0,-4.100000000000001,-1.7349126
10624000000.0,-3.400000000000002,-1.0030198000000001
10624000000.0,-2.700000000000003,-0.23609378000000003
10624000000.0,-2.0,0.5114394600000001
10624000000.0,-1.3000000000000007,1.2486136
10624000000.0,-0.6000000000000014,1.9694238
10624000000.0,0.09999999999999787,2.667732
10624000000.0,0.7999999999999972,3.3605914000000006
10624000000.0,1.4999999999999964,4.115627
10624000000.0,2.1999999999999957,4.8455078
10624000000.0,2.8999999999999986,5.5405252
10624000000.0,3.5999999999999943,6.1909294
10624000000.0,4.299999999999997,6.8357632
10624000000.0,5.0,7.543611999999999
10702000000.0,-30.0,-28.286174
10702000000.0,-29.3,-27.745738
10702000000.0,-28.6,-27.180564000000004
10702000000.0,-27.9,-26.568844000000002
10702000000.0,-27.2,-25.962362000000002
10702000000.0,-26.5,-25.351785999999997
10702000000.0,-25.8,-24.730128
10702000000.0,-25.1,-24.093566
10702000000.0,-24.4,-23.435940000000002
10702000000.0,-23.7,-22.749202
10702000000.0,-23.0,-22.029392
10702000000.0,-22.3,-21.275878
10702000000.0,-21.6,-20.560088
10702000000.0,-20.9,-19.923471999999997
10702000000.0,-20.200000000000003,-19.078888
10702000000.0,-19.5,-18.259516
10702000000.0,-18.8,-17.581554
10702000000.0,-18.1,-16.882237999999997
10702000000.0,-17.4,-16.111991999999997
10702000000.0,-16.700000000000003,-15.269141999999999
10702000000.0,-16.0,-14.43243
