frequency [Hz],synthHD Pro power [dBm],det power [dBm]
10000000000.0,-30.0,-27.450618000000002
10000000000.0,-29.3,-26.956746
10000000000.0,-28.6,-26.45776
10000000000.0,-27.9,-25.919155999999997
10000000000.0,-27.2,-25.366958
10000000000.0,-26.5,-24.783348
10000000000.0,-25.8,-24.210572000000003
10000000000.0,-25.1,-23.697138
10000000000.0,-24.4,-23.116558
10000000000.0,-23.7,-22.397806000000003
10000000000.0,-23.0,-21.680396
10000000000.0,-22.3,-21.068132000000002
10000000000.0,-21.6,-20.464731999999998
10000000000.0,-20.9,-19.877028000000003
10000000000.0,-20.200000000000003,-19.270476
10000000000.0,-19.5,-18.593352
10000000000.0,-18.8,-17.872557999999998
10000000000.0,-18.1,-17.130015999999998
10000000000.0,-17.4,-16.434302000000002
10000000000.0,-16.700000000000003,-15.764156000000003
10000000000.0,-16.0,-15.081438
10000000000.0,-15.3,-14.367761999999999
10000000000.0,-14.600000000000001,-13.598962
10000000000.0,-13.900000000000002,-12.819968
10000000000.0,-13.200000000000003,-12.043046
10000000000.0,-12.5,-11.313991999999999
10000000000.0,-11.8,-10.582344
10000000000.0,-11.100000000000001,-9.8437026
10000000000.0,-10.400000000000002,-9.1057054
10000000000.0,-9.700000000000003,-8.361579
10000000000.0,-9.0,-7.610426799999999
10000000000.0,-8.3,-6.875974799999999
10000000000.0,-7.600000000000001,-6.199830799999999
10000000000.0,-6.900000000000002,-5.5352066
10000000000.0,-6.200000000000003,-4.872661199999999
10000000000.0,-5.5,-4.1997442000000005
10000000000.0,-4.800000000000001,-3.4733476000000003
10000000000.0,-4.100000000000001,-2.7432893999999997
10000000000.0,-3.400000000000002,-2.0145282
10000000000.0,-2.700000000000003,-1.2891398
10000000000.0,-2.0,-0.5373177
10000000000.0,-1.3000000000000007,0.2060896
10000000000.0,-0.6000000000000014,0.9614203800000001
10000000000.0,0.09999999999999787,1.7083676
10000000000.0,0.7999999999999972,2.4403506
10000000000.0,1.4999999999999964,3.1492882
10000000000.0,2.1999999999999957,3.8636573999999997
10000000000.0,2.8999999999999986,4.595636600000001
10000000000.0,3.5999999999999943,5.34936
10000000000.0,4.299999999999997,6.063706400000001
10000000000.0,5.0,6.743458599999999
10078000000.0,-30.0,-27.241000000000003
10078000000.0,-29.3,-26.757934
10078000000.0,-28.6,-26.265416
10078000000.0,-27.9,-25.728408
10078000000.0,-27.2,-25.17726
10078000000.0,-26.5,-24.600864
10078000000.0,-25.8,-24.033896
10078000000.0,-25.1,-23.518568
10078000000.0,-24.4,-22.94125
10078000000.0,-23.7,-22.222944000000002
10078000000.0,-23.0,-21.504278000000003
10078000000.0,-22.3,-20.891563999999995
10078000000.0,-21.6,-20.288288
10078000000.0,-20.9,-19.699436
10078000000.0,-20.200000000000003,-19.09306
10078000000.0,-19.5,-18.416968
10078000000.0,-18.8,-17.695956000000002
10078000000.0,-18.1,-16.952096
10078000000.0,-17.4,-16.250184
10078000000.0,-16.700000000000003,-15.574905999999999
10078000000.0,-16.0,-14.891410000000002
10078000000.0,-15.3,-14.178127999999997
10078000000.0,-14.600000000000001,-13.409290000000002
10078000000.0,-13.900000000000002,-12.629527999999999
10078000000.0,-13.200000000000003,-11.85422
10078000000.0,-12.5,-11.118492
10078000000.0,-11.8,-10.383844
10078000000.0,-11.100000000000001,-9.6451182
10078000000.0,-10.400000000000002,-8.9004078
10078000000.0,-9.700000000000003,-8.152605
10078000000.0,-9.0,-7.4005216
10078000000.0,-8.3,-6.6642022
10078000000.0,-7.600000000000001,-5.988215
10078000000.0,-6.900000000000002,-5.3212874
10078000000.0,-6.200000000000003,-4.6541612
10078000000.0,-5.5,-3.978004
10078000000.0,-4.800000000000001,-3.2489216
10078000000.0,-4.100000000000001,-2.5169925999999996
10078000000.0,-3.400000000000002,-1.7943736000000001
10078000000.0,-2.700000000000003,-1.0653399999999997
10078000000.0,-2.0,-0.32053026
10078000000.0,-1.3000000000000007,0.41932460000000005
10078000000.0,-0.6000000000000014,1.1722966
10078000000.0,0.09999999999999787,1.9170968
10078000000.0,0.7999999999999972,2.6470102
10078000000.0,1.4999999999999964,3.3518812
10078000000.0,2.1999999999999957,4.0585138
10078000000.0,2.8999999999999986,4.7812056
10078000000.0,3.5999999999999943,5.531926
10078000000.0,4.299999999999997,6.2390282
10078000000.0,5.0,6.913111000000001
10156000000.0,-30.0,-27.639434
10156000000.0,-29.3,-27.165516000000004
10156000000.0,-28.6,-26.680446
10156000000.0,-27.9,-26.145804
10156000000.0,-27.2,-25.598834000000004
10156000000.0,-26.5,-25.02967
10156000000.0,-25.8,-24.470074000000004
10156000000.0,-25.1,-23.961744000000003
10156000000.0,-24.4,-23.389984000000005
10156000000.0,-23.7,-22.673081999999997
10156000000.0,-23.0,-21.963407999999998
10156000000.0,-22.3,-21.354205999999998
10156000000.0,-21.6,-20.750998
10156000000.0,-20.9,-20.168606
10156000000.0,-20.200000000000003,-19.566346
10156000000.0,-19.5,-18.89927
10156000000.0,-18.8,-18.183602
10156000000.0,-18.1,-17.442839999999997
10156000000.0,-17.4,-16.738364
10156000000.0,-16.700000000000003,-16.063740000000003
10156000000.0,-16.0,-15.38168
10156000000.0,-15.3,-14.669672
10156000000.0,-14.600000000000001,-13.90901
10156000000.0,-13.900000000000002,-13.135674
10156000000.0,-13.200000000000003,-12.361419999999999
10156000000.0,-12.5,-11.628048
10156000000.0,-11.8,-10.892599999999998
10156000000.0,-11.100000000000001,-10.151518000000001
10156000000.0,-10.400000000000002,-9.407340000000001
10156000000.0,-9.700000000000003,-8.6578458
10156000000.0,-9.0,-7.9065578
10156000000.0,-8.3,-7.167227200000001
10156000000.0,-7.600000000000001,-6.4916196
10156000000.0,-6.900000000000002,-5.8236632
10156000000.0,-6.200000000000003,-5.1574434
10156000000.0,-5.5,-4.4786376
10156000000.0,-4.800000000000001,-3.7507718
10156000000.0,-4.100000000000001,-3.0157584
10156000000.0,-3.400000000000002,-2.2912944
10156000000.0,-2.700000000000003,-1.5645082
10156000000.0,-2.0,-0.819485
10156000000.0,-1.3000000000000007,-0.08035329199999999
10156000000.0,-0.6000000000000014,0.67945972
10156000000.0,0.09999999999999787,1.4308330000000002
10156000000.0,0.7999999999999972,2.1654412
10156000000.0,1.4999999999999964,2.8838952000000004
10156000000.0,2.1999999999999957,3.6006473999999997
10156000000.0,2.8999999999999986,4.3313226
10156000000.0,3.5999999999999943,5.1005686
10156000000.0,4.299999999999997,5.832802
